walltime(s),cputime(s),systime(s),usertime(s),memory(GB)
0.46010828018188477,0.4914999999999993,0.16438999999999998,0.32710999999999935,0.20383834838867188
0.4416341781616211,0.47315600000000035,0.125826,0.34733000000000036,0.203857421875
0.44177937507629395,0.47326699999999966,0.12677500000000008,0.3464919999999996,0.20390701293945312
0.4519622325897217,0.48263699999999987,0.1066649999999999,0.375972,0.20392227172851562
0.4458749294281006,0.4731869999999999,0.13983299999999999,0.33335399999999993,0.20392608642578125
0.4506361484527588,0.48284400000000005,0.15243699999999993,0.3304070000000001,0.20392608642578125
0.43776726722717285,0.4686469999999998,0.09212299999999995,0.37652399999999986,0.20392608642578125
0.4315071105957031,0.4626869999999996,0.14305299999999987,0.31963399999999975,0.20392608642578125
0.44652652740478516,0.4776079999999996,0.1308419999999999,0.3467659999999997,0.20392608642578125
0.4500541687011719,0.4812919999999994,0.13670099999999996,0.3445909999999994,0.20392608642578125
0.4617486000061035,0.4908710000000005,0.14369300000000007,0.34717800000000043,0.20392608642578125
0.4398481845855713,0.46854300000000104,0.13097500000000006,0.337568000000001,0.20392608642578125
0.4601857662200928,0.4888979999999994,0.10671000000000008,0.3821879999999993,0.20392608642578125
0.45949602127075195,0.48894699999999824,0.12275299999999989,0.36619399999999835,0.20392608642578125
0.4358372688293457,0.467136,0.13156000000000034,0.33557599999999965,0.20392608642578125
0.44697999954223633,0.47873200000000127,0.14144699999999988,0.3372850000000014,0.20392990112304688
0.45375943183898926,0.48220899999999967,0.11983800000000011,0.36237099999999955,0.20392990112304688
0.44742631912231445,0.47748500000000016,0.13473200000000007,0.3427530000000001,0.20392990112304688
0.4411475658416748,0.4726830000000004,0.10884399999999994,0.36383900000000047,0.20392990112304688
0.4506216049194336,0.48229399999999867,0.10342300000000026,0.3788709999999984,0.20392990112304688
0.43176984786987305,0.4598959999999992,0.13213099999999978,0.3277649999999994,0.20392990112304688
0.44160032272338867,0.47103599999999934,0.1072169999999999,0.36381899999999945,0.20392990112304688
0.4317972660064697,0.46307800000000077,0.1195879999999998,0.34349000000000096,0.20392990112304688
0.44243645668029785,0.46996399999999916,0.10857500000000009,0.36138899999999907,0.20392990112304688
0.42911624908447266,0.4605999999999999,0.12888800000000034,0.33171199999999956,0.20392990112304688
0.4652988910675049,0.49746899999999883,0.1335379999999997,0.3639309999999991,0.20392990112304688
0.4432382583618164,0.4716560000000003,0.14141199999999987,0.3302440000000004,0.20392990112304688
0.4472169876098633,0.4785200000000005,0.123081,0.3554390000000005,0.20392990112304688
0.4330742359161377,0.4614339999999997,0.13399699999999992,0.32743699999999976,0.20392990112304688
0.43569016456604004,0.46017699999999984,0.1475489999999997,0.31262800000000013,0.20392990112304688
