walltime(s),cputime(s),systime(s),usertime(s),memory(GB)
387.54576349258423,425.99368300000003,129.140598,296.853085,0.5099372863769531
397.8153326511383,436.85390599999994,132.78911899999997,304.06478699999997,0.5099372863769531
396.6173164844513,435.409766,131.65108099999998,303.758685,0.5099372863769531
392.0088400840759,430.1853069999999,129.556311,300.6289959999999,0.5099372863769531
398.8812291622162,438.0593890000001,134.76835500000004,303.2910340000001,0.5099372863769531
394.92895793914795,433.6469340000001,130.60501,303.0419240000001,0.5099372863769531
395.2275712490082,433.96323900000027,130.71376900000007,303.2494700000002,0.5099372863769531
399.40297770500183,438.5919719999997,133.21345999999994,305.3785119999998,0.5099372863769531
399.3030161857605,438.5039820000002,134.58908599999995,303.9148960000002,0.5099372863769531
