walltime(s),cputime(s),systime(s),usertime(s),memory(GB)
5.475677490234375,5.862830000000001,1.762546,4.100284,0.2082061767578125
4.688877582550049,5.060694,1.4531919999999996,3.607502,0.20829391479492188
4.419989347457886,4.783695999999999,1.3630110000000002,3.420684999999999,0.20830917358398438
4.4173970222473145,4.776192000000001,1.3184460000000007,3.457746,0.20832061767578125
4.652355909347534,5.024501000000003,1.3557820000000005,3.668719000000003,0.20832061767578125
5.143481731414795,5.519543999999999,1.4973820000000009,4.022161999999998,0.20833206176757812
5.388680934906006,5.778645000000003,1.656028000000001,4.122617000000002,0.20834732055664062
4.831451416015625,5.200736000000001,1.476051,3.724685000000001,0.20834732055664062
5.367936611175537,5.759501,1.6693169999999995,4.090184000000001,0.20834732055664062
5.181464672088623,5.557835000000004,1.6063690000000008,3.9514660000000035,0.20835113525390625
5.042531490325928,5.416578999999997,1.4293239999999994,3.9872549999999976,0.20835113525390625
5.394012689590454,5.784611999999999,1.819148000000002,3.965463999999997,0.20835113525390625
4.889493465423584,5.263245000000005,1.530501000000001,3.732744000000004,0.20835494995117188
5.31306004524231,5.703062999999997,1.5539069999999988,4.149155999999998,0.20835494995117188
5.190782070159912,5.575434000000005,1.5475940000000001,4.027840000000005,0.20835494995117188
4.703395128250122,5.074264999999997,1.3358229999999978,3.738441999999999,0.20836257934570312
4.919393539428711,5.2957270000000065,1.403376999999999,3.8923500000000075,0.20836257934570312
4.961457014083862,5.334710999999999,1.528655999999998,3.8060550000000006,0.2083740234375
5.125827074050903,5.502995999999996,1.517994999999999,3.985000999999997,0.2083740234375
4.92789363861084,5.300146000000002,1.4588560000000008,3.8412900000000008,0.20837783813476562
5.416751861572266,5.808315,1.7333420000000004,4.074973,0.20837783813476562
5.436783075332642,5.819082999999992,1.5951079999999962,4.223974999999996,0.20837783813476562
5.431100845336914,5.821170000000009,1.670067000000003,4.151103000000006,0.20837783813476562
5.39346981048584,5.778942000000008,1.6814850000000021,4.097457000000006,0.20837783813476562
4.817915439605713,5.193255999999998,1.4274899999999988,3.7657659999999993,0.20837783813476562
4.862013339996338,5.2291879999999935,1.2907919999999962,3.9383959999999973,0.20837783813476562
4.978034257888794,5.351510000000005,1.4785810000000055,3.872928999999999,0.20837783813476562
5.035100221633911,5.413987000000006,1.571437000000003,3.842550000000003,0.20837783813476562
5.102131128311157,5.483152999999994,1.599691,3.8834619999999944,0.20837783813476562
5.477104187011719,5.862118000000017,1.5257230000000064,4.33639500000001,0.20837783813476562
