walltime(s),cputime(s),systime(s),usertime(s),memory(GB)
0.5103452205657959,0.5441039999999997,0.14994199999999996,0.3941619999999997,0.20410919189453125
0.49427151679992676,0.5316479999999999,0.143781,0.38786699999999996,0.20412445068359375
0.48611950874328613,0.5225880000000004,0.083592,0.4389960000000004,0.20413589477539062
0.5080611705780029,0.5379520000000003,0.13227200000000006,0.40568000000000026,0.2041473388671875
0.49561119079589844,0.5333359999999997,0.15900499999999995,0.37433099999999975,0.2041473388671875
0.4941561222076416,0.5279300000000007,0.14329900000000007,0.3846310000000006,0.2041473388671875
0.4947528839111328,0.5314949999999998,0.10088399999999997,0.43061099999999985,0.20416259765625
0.5027306079864502,0.5318339999999999,0.16361500000000007,0.36821899999999985,0.20416259765625
0.4942038059234619,0.5313720000000002,0.13654499999999992,0.39482700000000026,0.20416259765625
0.49149250984191895,0.523893999999999,0.12284799999999985,0.4010459999999991,0.20416259765625
0.5051531791687012,0.5396159999999992,0.14861000000000013,0.3910059999999991,0.20416641235351562
0.4924783706665039,0.5295180000000008,0.131116,0.3984020000000008,0.20416641235351562
0.49466896057128906,0.5298210000000003,0.13878100000000004,0.3910400000000003,0.20416641235351562
0.49159908294677734,0.5244999999999997,0.13827999999999996,0.3862199999999998,0.20416641235351562
0.4994997978210449,0.5338030000000002,0.13226000000000004,0.4015430000000002,0.20416641235351562
0.5077023506164551,0.5450730000000008,0.16238600000000014,0.38268700000000067,0.20416641235351562
0.4920041561126709,0.5236550000000002,0.15651899999999985,0.36713600000000035,0.20417022705078125
0.5000896453857422,0.5383500000000008,0.13877799999999985,0.3995720000000009,0.2041778564453125
0.4976341724395752,0.5322499999999994,0.12957899999999967,0.4026709999999998,0.2041778564453125
0.4934666156768799,0.530619999999999,0.11951900000000037,0.4111009999999986,0.2041778564453125
0.4939613342285156,0.5271859999999995,0.15926099999999987,0.3679249999999996,0.2041778564453125
0.5098679065704346,0.5408690000000007,0.14151700000000034,0.3993520000000004,0.2041778564453125
0.4990358352661133,0.5366269999999989,0.1299269999999999,0.40669999999999895,0.2041778564453125
0.4985039234161377,0.5318030000000005,0.18435099999999993,0.34745200000000054,0.2041778564453125
0.5027990341186523,0.5365689999999996,0.1321819999999998,0.40438699999999983,0.2041778564453125
0.492023229598999,0.5296429999999988,0.14670899999999998,0.3829339999999988,0.2041778564453125
0.49773502349853516,0.528975,0.17968299999999982,0.34929200000000016,0.2041778564453125
0.4924459457397461,0.525107000000002,0.13866200000000006,0.3864450000000019,0.2041778564453125
0.5013406276702881,0.5391209999999997,0.1276320000000002,0.41148899999999955,0.2041778564453125
0.49436426162719727,0.5281979999999988,0.10732300000000006,0.4208749999999988,0.2041778564453125
