walltime(s),cputime(s),systime(s),usertime(s),memory(GB)
314.51890659332275,348.442718,112.998577,235.444141,0.3971099853515625
315.903382062912,349.896389,113.647344,236.24904500000002,0.3971099853515625
316.2251434326172,350.181824,113.95519100000001,236.226633,0.3971099853515625
315.89980244636536,349.87841099999997,112.367682,237.51072899999997,0.3971366882324219
316.05402159690857,350.1095920000001,114.340618,235.76897400000007,0.3988456726074219
313.2433352470398,346.90351899999996,113.76897200000008,233.13454699999988,0.3988456726074219
315.7832238674164,349.59876299999996,112.21197200000006,237.3867909999999,0.3988456726074219
315.89587783813477,349.776155,112.88163299999997,236.89452200000005,0.3988456726074219
313.6830677986145,347.2099099999999,111.80666400000007,235.40324599999985,0.3988456726074219
314.66882061958313,348.40987799999994,111.55361700000003,236.8562609999999,0.3988456726074219
315.7509503364563,349.6248829999997,112.26196099999993,237.3629219999998,0.3988456726074219
