walltime(s),cputime(s),systime(s),usertime(s),memory(GB)
4.295185089111328,4.567418,1.2896359999999998,3.277782,0.2074127197265625
4.143169641494751,4.424397,1.269156,3.155241,0.20741653442382812
4.170367479324341,4.446217,1.2902940000000003,3.1559229999999996,0.20742034912109375
4.177971124649048,4.465159999999999,1.218254,3.246905999999999,0.20743560791015625
4.165355682373047,4.433625000000001,1.3192660000000007,3.1143590000000003,0.20744705200195312
4.107499837875366,4.382593000000002,1.251633,3.1309600000000017,0.20753860473632812
4.109619617462158,4.386031000000001,1.203932,3.182099000000001,0.20753860473632812
4.062000036239624,4.343113000000001,1.1520489999999999,3.191064000000001,0.20754623413085938
4.115636587142944,4.397896000000001,1.1775380000000002,3.220358000000001,0.207550048828125
4.1434454917907715,4.423723000000001,1.294068000000001,3.1296549999999996,0.207550048828125
4.152234315872192,4.434284999999999,1.1650290000000005,3.2692559999999986,0.20755386352539062
4.1326305866241455,4.401376999999998,1.3042999999999996,3.0970769999999987,0.20756149291992188
4.173192739486694,4.457898000000004,1.174316000000001,3.2835820000000027,0.20757675170898438
4.072688579559326,4.346339,1.277360999999999,3.0689780000000013,0.20758056640625
4.1257922649383545,4.393562000000003,1.155341,3.238221000000003,0.20758438110351562
4.0867226123809814,4.371438000000005,1.2189329999999998,3.152505000000005,0.20759201049804688
4.160765171051025,4.4265589999999975,1.2276859999999985,3.198872999999999,0.20759201049804688
4.165857791900635,4.435077999999997,1.1820999999999984,3.252977999999999,0.20759201049804688
4.1426169872283936,4.415953999999992,1.2582459999999998,3.1577079999999924,0.20759201049804688
4.09151554107666,4.372505999999998,1.1013410000000015,3.2711649999999963,0.20760345458984375
4.1343817710876465,4.4144419999999975,1.2611120000000007,3.153329999999997,0.20760345458984375
4.148759841918945,4.425495000000009,1.3343319999999999,3.0911630000000088,0.20760726928710938
4.115041494369507,4.384778999999998,1.1851149999999997,3.1996639999999985,0.20760726928710938
4.098447799682617,4.378757999999994,1.3237699999999997,3.0549879999999945,0.20760726928710938
4.111507415771484,4.388272000000001,1.303967,3.0843050000000005,0.207611083984375
4.102834224700928,4.383699000000007,1.1924479999999988,3.1912510000000083,0.207611083984375
4.147814512252808,4.418518999999989,1.2512839999999983,3.167234999999991,0.207611083984375
4.106698989868164,4.376200000000011,1.164584000000005,3.2116160000000065,0.207611083984375
4.129059314727783,4.403646999999999,1.1791550000000015,3.224491999999998,0.207611083984375
4.162510395050049,4.439289000000009,1.3303160000000034,3.108973000000006,0.207611083984375
