walltime(s),cputime(s),systime(s),usertime(s),memory(GB)
302.8710358142853,603.2035510000001,0.14938599999999996,603.054165,0.28631591796875
296.5904026031494,592.810023,0.044018,592.766005,0.29697418212890625
293.7861545085907,587.2753890000001,0.09601000000000004,587.1793790000002,0.29697418212890625
295.9516565799713,591.6056110000002,0.06000099999999997,591.5456100000001,0.29697418212890625
290.32811737060547,580.2660819999998,0.08800700000000006,580.1780749999998,0.3016700744628906
294.4338665008545,588.568672,0.08800699999999995,588.480665,0.30387115478515625
294.2779116630554,588.2148879999997,0.1280110000000001,588.0868769999997,0.3093528747558594
296.6865704059601,592.9820780000002,0.1280110000000001,592.8540670000002,0.3093528747558594
294.33497405052185,588.3833399999996,0.14000899999999983,588.2433309999997,0.3093528747558594
292.8818953037262,585.4404620000004,0.09600699999999995,585.3444550000004,0.3093528747558594
308.77394580841064,615.3231559999994,0.131996,615.1911599999994,0.3093528747558594
302.397066116333,604.1873500000004,0.11998900000000012,604.0673610000003,0.3093528747558594
