walltime(s),cputime(s),systime(s),usertime(s),memory(GB)
1010.1165437698364,1246.436323,1.8888410000000002,1244.547482,1.8526115417480469
258.74267625808716,494.88702500000016,1.204805,493.68222000000014,1.9912071228027344
251.08506035804749,479.5248480000001,1.4290599999999998,478.0957880000001,2.0445480346679688
257.24417090415955,491.5661649999996,1.2849080000000006,490.28125699999964,2.0489845275878906
258.31141352653503,493.801116,1.397018,492.404098,2.0489845275878906
258.29058957099915,493.8282979999999,1.2249250000000007,492.6033729999999,2.0489845275878906
253.18169450759888,483.5478340000005,1.601248,481.9465860000005,2.0653114318847656
264.91620898246765,507.0639039999997,1.4209990000000001,505.6429049999997,2.0653114318847656
263.69435715675354,505.0089669999996,1.2168430000000008,503.7921239999996,2.0653114318847656
267.10793900489807,511.20427200000034,1.4568339999999989,509.74743800000033,2.0653114318847656
