walltime(s),cputime(s),systime(s),usertime(s),memory(GB)
4.400617837905884,4.664744,1.3779139999999999,3.28683,0.20933151245117188
4.496464014053345,4.749616000000001,1.513722,3.235894000000001,0.20952606201171875
4.484021186828613,4.7661479999999985,1.442246,3.3239019999999986,0.20962905883789062
4.468780517578125,4.747338000000001,1.3775560000000002,3.3697820000000007,0.20962905883789062
4.489181995391846,4.760074999999999,1.4580269999999995,3.302047999999999,0.20962905883789062
4.445364952087402,4.693781999999998,1.4890239999999997,3.204757999999998,0.20962905883789062
4.4965996742248535,4.760582000000001,1.5158229999999993,3.244759000000002,0.20962905883789062
4.50289249420166,4.763513999999999,1.5468419999999998,3.216671999999999,0.20965194702148438
4.481881141662598,4.745776000000001,1.4060490000000012,3.339727,0.20965194702148438
4.499429225921631,4.756288999999997,1.424802999999999,3.331485999999998,0.20965194702148438
4.471981525421143,4.737330000000004,1.4017909999999993,3.3355390000000043,0.20965194702148438
4.43384313583374,4.713771999999995,1.2900579999999984,3.423713999999997,0.20965194702148438
4.439310789108276,4.703168000000005,1.347963,3.355205000000005,0.20965194702148438
4.454305171966553,4.715336000000001,1.4019890000000004,3.3133470000000003,0.20965194702148438
4.440852880477905,4.700114999999997,1.3819119999999998,3.318202999999997,0.20965194702148438
4.417885780334473,4.693237999999997,1.4360469999999985,3.257190999999999,0.20965194702148438
4.435448884963989,4.701513000000006,1.447178000000001,3.2543350000000046,0.20965194702148438
4.447009325027466,4.713073000000005,1.4793699999999994,3.2337030000000055,0.20965194702148438
4.425625562667847,4.684345999999987,1.4445349999999983,3.239810999999989,0.20965194702148438
4.439973831176758,4.689415,1.4846350000000008,3.2047799999999995,0.20965194702148438
4.42754602432251,4.7020359999999926,1.4532659999999993,3.2487699999999933,0.20965194702148438
4.421075820922852,4.703725000000006,1.5703960000000023,3.1333290000000034,0.20965194702148438
4.4125144481658936,4.694036000000004,1.452721000000004,3.241315,0.20965194702148438
4.444061756134033,4.698843000000004,1.429476000000001,3.2693670000000026,0.20965194702148438
4.429283142089844,4.689124000000007,1.4783220000000057,3.210802000000001,0.20965194702148438
4.437458038330078,4.7144210000000015,1.443641999999997,3.2707790000000045,0.20965194702148438
4.443731069564819,4.694900999999994,1.5499610000000033,3.144939999999991,0.20965194702148438
4.423120737075806,4.687156999999999,1.4612529999999992,3.225904,0.20965194702148438
4.437974214553833,4.702240999999994,1.4173489999999944,3.2848919999999993,0.20965194702148438
4.447600603103638,4.7233560000000026,1.3907969999999992,3.3325590000000034,0.20965194702148438
