walltime(s),cputime(s),systime(s),usertime(s),memory(GB)
0.08667898178100586,0.0866699999999998,0.0,0.0866699999999998,0.19443511962890625
0.08616375923156738,0.08615199999999934,0.0,0.08615199999999934,0.19443511962890625
0.08589482307434082,0.08588299999999993,0.0,0.08588299999999993,0.19443511962890625
0.0805814266204834,0.0805700000000007,0.0,0.0805700000000007,0.19443511962890625
0.08024144172668457,0.08022999999999936,0.0,0.08022999999999936,0.19443511962890625
0.08782839775085449,0.08781799999999951,0.0,0.08781799999999951,0.19443511962890625
0.08403420448303223,0.08402399999999943,0.0,0.08402399999999943,0.19443511962890625
0.08078217506408691,0.08077199999999962,0.0,0.08077199999999962,0.19443511962890625
0.08367300033569336,0.08366199999999946,0.0,0.08366199999999946,0.19443511962890625
0.08543729782104492,0.08542700000000014,0.0,0.08542700000000014,0.19443511962890625
0.0812833309173584,0.08124000000000009,0.003018999999999994,0.0782210000000001,0.19443511962890625
0.0803828239440918,0.0803729999999998,0.0,0.0803729999999998,0.19443511962890625
0.0803382396697998,0.0803269999999996,0.0,0.0803269999999996,0.19443511962890625
0.08159375190734863,0.08158300000000018,0.0,0.08158300000000018,0.19443511962890625
0.08089065551757812,0.08088099999999976,0.0,0.08088099999999976,0.19443511962890625
0.08118891716003418,0.08117600000000014,0.0,0.08117600000000014,0.19443511962890625
0.0808870792388916,0.08087700000000009,0.0,0.08087700000000009,0.19443511962890625
0.08074092864990234,0.08072200000000063,0.0,0.08072200000000063,0.19443511962890625
0.08059573173522949,0.08058599999999938,0.0,0.08058599999999938,0.19443511962890625
0.0806581974029541,0.08064699999999991,0.0,0.08064699999999991,0.19443511962890625
0.08074545860290527,0.08073499999999978,0.0,0.08073499999999978,0.19443511962890625
0.08194470405578613,0.0819340000000004,0.0,0.0819340000000004,0.19443511962890625
0.08088183403015137,0.08087200000000028,0.0,0.08087200000000028,0.19443511962890625
0.08112287521362305,0.08111099999999993,0.0,0.08111099999999993,0.19443511962890625
0.08141517639160156,0.08140400000000003,0.0,0.08140400000000003,0.19443511962890625
0.0808103084564209,0.08079899999999984,0.0,0.08079899999999984,0.19443511962890625
0.08054542541503906,0.08053499999999936,0.0,0.08053499999999936,0.19443511962890625
0.08202481269836426,0.08201500000000017,0.0,0.08201500000000017,0.19443511962890625
0.08096766471862793,0.08094800000000024,0.0,0.08094800000000024,0.19443511962890625
0.08162808418273926,0.08161800000000063,0.0,0.08161800000000063,0.19443511962890625
