walltime(s),cputime(s),systime(s),usertime(s),memory(GB)
7.751084327697754,8.442960999999999,2.172144,6.270816999999999,0.2081756591796875
7.736204147338867,8.432294000000002,2.116817,6.315477000000001,0.20818328857421875
7.727463006973267,8.416961000000002,2.435919,5.981042000000002,0.20820999145507812
7.7317633628845215,8.416445,2.2090929999999993,6.207352,0.208221435546875
7.737255096435547,8.428434999999999,2.2556449999999995,6.172789999999999,0.2082672119140625
7.693269968032837,8.383651999999994,2.150943999999999,6.232707999999995,0.2082672119140625
7.746990919113159,8.442466,2.2816259999999993,6.16084,0.20827102661132812
7.721128225326538,8.409481999999997,2.389237999999999,6.020243999999998,0.20827102661132812
7.610814571380615,8.292137999999994,2.1722269999999995,6.119910999999995,0.20827484130859375
7.467192888259888,8.138054999999998,2.1656939999999985,5.972360999999999,0.20827865600585938
7.474056243896484,8.145384,2.057161999999998,6.088222000000002,0.20827865600585938
7.508460998535156,8.180143000000005,2.0194089999999996,6.160734000000005,0.208282470703125
7.440463542938232,8.10169999999999,2.089454,6.01224599999999,0.208282470703125
7.483062267303467,8.151106000000002,2.1714480000000016,5.979658000000001,0.208282470703125
6.851080894470215,7.499777999999996,2.1118089999999974,5.387968999999998,0.208282470703125
7.205242395401001,7.863714000000002,1.9624680000000012,5.901246,0.20828628540039062
7.099944353103638,7.761556000000006,2.0690619999999953,5.692494000000011,0.20829391479492188
6.84428071975708,7.489737000000005,2.088189,5.401548000000005,0.20830154418945312
6.942992210388184,7.597556999999995,2.024524999999997,5.573031999999998,0.20830535888671875
7.034039497375488,7.692753000000003,1.8181829999999977,5.874570000000006,0.20830535888671875
7.19678521156311,7.852759999999996,1.961790999999998,5.890968999999998,0.20830917358398438
7.034887313842773,7.691183999999986,2.060819000000002,5.630364999999983,0.20830917358398438
7.505436897277832,8.182333999999997,2.179485999999997,6.002848,0.20830917358398438
7.630857944488525,8.310432999999989,2.215385999999995,6.095046999999994,0.20830917358398438
7.6772236824035645,8.364083000000008,2.2241929999999996,6.139890000000008,0.20830917358398438
7.5222485065460205,8.194198999999983,2.230485999999999,5.963712999999984,0.20831680297851562
7.613508224487305,8.28347999999999,2.0918449999999993,6.191634999999991,0.20831680297851562
7.728427410125732,8.416309999999996,2.4846509999999995,5.931658999999996,0.20831680297851562
7.6418373584747314,8.329522999999973,2.136924999999998,6.192597999999975,0.20832061767578125
7.661996364593506,8.348219000000014,2.1695739999999972,6.178645000000017,0.20832061767578125
