walltime(s),cputime(s),systime(s),usertime(s),memory(GB)
4.247576713562012,4.663742000000001,1.143564,3.5201780000000005,0.20601272583007812
4.252971410751343,4.67102,1.2395450000000001,3.4314750000000007,0.20623016357421875
4.25967264175415,4.683451,1.1519060000000003,3.5315449999999995,0.206268310546875
4.232197284698486,4.649724000000002,1.2641020000000003,3.3856220000000015,0.20627593994140625
4.263136148452759,4.685554999999997,1.3007910000000003,3.384763999999997,0.20629119873046875
4.275812864303589,4.698481,1.3461530000000002,3.352328,0.20632171630859375
4.286678791046143,4.705902000000003,1.301489000000001,3.4044130000000017,0.20632553100585938
4.296149492263794,4.716520999999998,1.291181,3.4253399999999985,0.20632553100585938
4.297426700592041,4.721779000000003,1.3408789999999993,3.380900000000004,0.20632553100585938
4.300520896911621,4.722052,1.2241060000000008,3.497945999999999,0.20632553100585938
4.282821416854858,4.709788999999997,1.3775200000000005,3.3322689999999966,0.20633316040039062
4.252701759338379,4.672350999999999,1.1876719999999992,3.484679,0.20633316040039062
4.281319618225098,4.702682000000008,1.2525960000000023,3.450086000000006,0.20633697509765625
4.273899793624878,4.693937000000005,1.218434000000002,3.4755030000000033,0.20633697509765625
4.3078436851501465,4.732575999999998,1.1225079999999998,3.6100679999999983,0.20634078979492188
4.2983808517456055,4.720386000000001,1.2686799999999998,3.4517060000000015,0.2063446044921875
4.277289152145386,4.6960440000000006,1.1467829999999992,3.5492610000000013,0.2063446044921875
4.244226455688477,4.661607000000007,1.174398,3.487209000000007,0.20634841918945312
4.184333801269531,4.598165000000009,1.2370360000000034,3.3611290000000054,0.20634841918945312
4.263373613357544,4.680686000000009,1.345016000000001,3.3356700000000075,0.20634841918945312
4.277434587478638,4.699649999999995,1.2949340000000014,3.4047159999999934,0.20636749267578125
4.290817975997925,4.709118,1.2387120000000031,3.470405999999997,0.20636749267578125
4.263410806655884,4.685089999999995,1.1765779999999992,3.508511999999996,0.20636749267578125
4.263782978057861,4.683637000000001,1.0903150000000004,3.5933220000000006,0.20636749267578125
4.280458927154541,4.705813999999997,1.2121500000000012,3.4936639999999954,0.20636749267578125
4.274377107620239,4.692179000000003,1.2189150000000026,3.4732640000000004,0.20636749267578125
4.240725040435791,4.65632699999999,1.1321370000000002,3.52418999999999,0.20637130737304688
4.307485342025757,4.7247600000000105,1.2565540000000013,3.4682060000000092,0.20637130737304688
4.293272018432617,4.714163999999997,1.1483580000000018,3.565805999999995,0.20637130737304688
4.253464698791504,4.6716280000000125,1.318076000000005,3.3535520000000076,0.20637130737304688
